source	category	url	method	note
ckan_ecu911	Datos Abiertos Ecuador / ECU 911	https://www.datosabiertos.gob.ec/api/3/action/package_show	api	
ckan_ecu911	Datos Abiertos Ecuador / ECU 911	https://www.datosabiertos.gob.ec/dataset/base-de-emergencias	hybrid	
ckan_ant	Datos Abiertos Ecuador / ANT	https://datosabiertos.gob.ec/dataset/?organization=antec	html_scrape	
ckan_ant	Datos Abiertos Ecuador / ANT	https://www.datosabiertos.gob.ec/api/3/action/package_search	api	
ckan_transport_csv	Datos Abiertos Ecuador	https://www.datosabiertos.gob.ec/dataset/?res_format=CSV&groups=trans	html_scrape	
ckan_transport_csv	Datos Abiertos Ecuador	https://www.datosabiertos.gob.ec/dataset/estadisticas-vehiculos-2024	hybrid	
inec_siniestros	INEC / ESTRA (fuente ANT)	https://www.ecuadorencifras.gob.ec/estadisticas-siniestros-de-transito/	html_scrape	
inec_siniestros	INEC / ESTRA (fuente ANT)	https://www.ecuadorencifras.gob.ec/siniestros-transito-trimestral/	html_scrape	
inec_siniestros	INEC / ESTRA (fuente ANT)	https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/	html_scrape	
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones2024	html_scrape	
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones-2023	html_scrape	
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones-2020	html_scrape	
ocds_contratacion	Contrataciones Abiertas Ecuador / SERCOP	https://datosabiertos.compraspublicas.gob.ec/PLATAFORMA/api/search_ocds	api	
ocds_contratacion	Contrataciones Abiertas Ecuador / SERCOP	https://datosabiertos.compraspublicas.gob.ec/PLATAFORMA/api/record	api	
ocds_contratacion	Contrataciones Abiertas Ecuador / SERCOP	https://datosabiertos.compraspublicas.gob.ec/PLATAFORMA/datos-abiertos/api	download	
gob_ec_tramites	Gob.ec / ANT / CTE	https://www.gob.ec/cte/tramites/provision-estadisticas-siniestros-transito	download	
gob_ec_tramites	Gob.ec / ANT / CTE	https://www.gob.ec/ant/tramites/exoneracion-multas-calendarizacion-vehiculo-se-encuentra-taller-mecanico-no-se-presenta-revision-tecnica-vehicular	download	
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/d7a687af-6c85-4ef2-82e9-86734ac2202f/download/formato-diccionario-de-datos_v2.xlsx	download	ECU911_Formato Diccionario de Datos_DD
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/bac43367-d4ce-40b2-b7b2-29a8adab4daf/download/formato-perfil-de-metadatos_v2.xlsx	download	ECU911_Perfil_Metadatos_2025
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/899e278d-bc30-47fb-9f3e-54c209bfb9e2/download/formato-portafolio-datos-abiertos_2025.xlsx	download	ECU911_Portafolio_Datos_Abiertos_2025
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/07e1f4d2-812f-4ddd-96c8-55ec77596c7f/download/emergencias_julio_2021.csv	download	ECU911_Base de Emergencias_202107
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/796c6d5f-fa72-4ab3-b6c7-9bc2884e28f7/download/emergencias_agosto_2021.csv	download	ECU911_Base de Emergencias_202108
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/d676c1d0-c8a3-409a-a217-b7fc8018cef7/download/emergencias_septiembre_2021.csv	download	ECU911_Base de Emergencias_202109
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/619d64c3-4c2a-46b0-acb1-fd918af300a8/download/emergencias_octubre_2021.csv	download	ECU911_Base de Emergencias_202110
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/9d666fa7-f908-4db1-943c-797546266905/download/emergencias_noviembre_2021.csv	download	ECU911_Base de Emergencias_202111
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/a282ac37-070e-4629-b576-4d2bb087e5a8/download/emergencias_diciembre_2021.csv	download	ECU911_Base de Emergencias_202112
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/20470b50-7c93-472b-92bf-dad8b3caa317/download/emergencias_enero_2022.csv	download	ECU911_Base de Emergencias_202201
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/409864e9-3748-4c66-823b-1b3ed92a3cd9/download/emergencias_febrero_2022.csv	download	ECU911_Base_de_Emergencias_202202
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/0a45aae3-841d-47e6-90e4-92f78f8151f4/download/emergencias_marzo_2022.csv	download	ECU911_Base_de_Emergencias_202203
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/c870e8cf-4f24-46c5-b947-c998b1c8f2b8/download/emergencias_abril_2022.csv	download	Ecu911_Base_de_Emergencias_202204
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/cb84394c-1176-4f43-b416-a4ca5aef5259/download/emergencias_mayo_2022.csv	download	Ecu911_Base de Emergencias_202205.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/6b63662c-6014-49da-b915-012a9cb660b7/download/emergencias_junio_2022.csv	download	Ecu911_Base de Emergencias_202206.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/08edb4b8-82f7-4d45-9b85-3d1c46740644/download/emergencias_julio_2022.csv	download	Ecu911_Base de Emergencias_202207.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/2f88d6da-71e9-4351-8c6e-f22531679ac3/download/emergencias_agosto_2022.csv	download	Ecu911_Base de Emergencias_202208
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/0f51a4ad-fdb7-40d2-8a53-c40fb9f8090c/download/emergencias_septiembre_2022.csv	download	Ecu911_Base de Emergencias_202209
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/189a02b8-e3c4-4d79-a9f9-9857a9287dfd/download/emergencias_octubre_2022.csv	download	Ecu911_Base de Emergencias_202210.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/1191289e-087f-4503-a8e4-8ea648d1cbcd/download/emergencias_noviembre_2022.csv	download	Ecu911_Base de Emergencias_202211.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/a3020953-6cab-4d67-b62d-efb9228b7651/download/emergencias_diciembre_2022.csv	download	Ecu911_Base de Emergencias_202212.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/fdde7f15-e6b7-41bb-b4b1-78dd571e1783/download/emergencias_enero_2023.csv	download	Ecu911_Base de Emergencias_202301.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/1c9d4351-a32b-4747-9737-c0e3920ba97f/download/emergencias_febrero_2023.csv	download	Ecu911_Base de Emergencias_202302csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/b5262bab-d4a1-4a3c-a159-c9bfaeff1655/download/emergencias_marzo_2023.csv	download	Ecu911_Base de Emergencias_202303.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/bfc43c4b-39c1-49d2-8108-5205165698c3/download/emergencias_abril_2023.csv	download	Ecu911_Base de Emergencias_202304.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/57050210-c0b8-499e-843b-4c5562f35a0d/download/emergencias_mayo_2023.csv	download	Ecu911_Base de Emergencias_202305.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/a5abe741-b434-4c6f-9b3f-9e20a79a06b3/download/emergencias_junio_2023.csv	download	Ecu911_Base de Emergencias_202306.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/4d3dd490-4645-497b-b9b2-2d5600449d6b/download/emergencias_julio_2023.csv	download	Ecu911_Base de Emergencias_202307.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/20065352-f37f-43b0-9f9c-8b0f41269df5/download/emergencias_agosto_2023.csv	download	Ecu911_Base  de Emergencias_202308
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/c18e0199-8853-41f3-b997-61edc406cd8b/download/emergencias_septiembre_2023.csv	download	Ecu911_Base de Emergencias_202309
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/2726e1d7-5198-40c1-b25d-9fabd17215f9/download/emergencias_octubre_2023.csv	download	Ecu911_Base de Emergencias_202310.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/e913f171-b557-449c-9b3f-41d408ee942b/download/emergencias_noviembre_2023.csv	download	Ecu911_Base de Emergencias_202311.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/2836fb6b-cb84-4f72-b631-755a832976c7/download/incidentes_enero_2024.csv	download	Ecu911_Base de Emergencias_202401.csv
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/72554c5b-da29-4cc5-b022-3b35ed3e0d09/download/incidentes_febrero_2024.csv	download	Ecu911_Base de Emergencias_202402
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/3e6ae18b-0cb9-4116-a5a6-af9bf70f49f2/download/incidentes_marzo_2024.csv	download	Ecu911_Base de Emergencias_202403
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/e3367d5c-d81a-45c9-9507-b1a2a56ca05e/download/incidentes_abril_2024.csv	download	ECU911_Base de Emergencias_202404
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/704aa310-d017-4781-8bed-fd6bf4ff4174/download/incidentes_mayo_2024.csv	download	ECU911_Base de Emergencias_202405
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/9a45248e-c6b2-4d87-a55d-8e87fe667298/download/incidentes_junio_2024.csv	download	ECU911_Base de Emergencias_202406
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/7d809f2c-b8dc-4b7a-953b-f61840a527e1/download/incidentes_julio_2024.csv	download	ECU911_Base de Emergencias_202407
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/94370848-29f1-436b-b721-2fe0a8fd25fc/download/incidentes_agosto_2024.csv	download	ECU911_Base de Emergencias_202408
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/8568e105-fbc3-4515-b9ab-909850ff8cd5/download/incidentes_septiembre2024.csv	download	ECU911_Base de Emergencias_202409
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/97745e4d-1a1b-4198-b837-4aabf65926d7/download/incidentes_octubre2024.csv	download	ECU911_Base de Emergencias_202410
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/55e8de8b-9e8f-49a3-b724-129198e49c51/download/incidentes_noviembre2024.csv	download	ECU911_Base de Emergencias_202411
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/0483e572-88ea-4378-8f1c-065966e098c5/download/incidentes_diciembre2024.csv	download	ECU911_Base de Emergencias_202412
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/7cd21976-8d98-491d-9385-7225fbdb637f/download/incidentes_enero_2025.csv	download	ECU911_Base de Emergencias_202501
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/149fbcac-cc0c-4c17-ac40-3666d282777b/download/incidentes_febrero_2025.csv	download	ECU911_Base de Emergencias_202502
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/bbe148a4-03e5-4e4b-b9f5-740693375e04/download/incidentes_marzo_2025.csv	download	ECU911_Base de Emergencias_202503
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/7e8f555e-b7ad-4498-b967-0d8b7bdcb443/download/incidentes_abril_2025.csv	download	ECU911_Base de Emergencias_202504
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/813a03b0-1387-422d-8d00-31f8cc804158/download/emergencias_diciembre_2023.csv	download	Ecu911_Base de Emergencias_202312
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/f049a6f8-0975-4857-b916-489803fc67d5/download/incidentes_mayo_2025.csv	download	ECU911_Base de Emergencias_202505
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/8129978c-bcab-41c9-857f-5bf933b78d3a/download/incidentes_junio_2025.csv	download	ECU911_Base de Emergencias_202506
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/b7878162-cdae-4638-8c7b-ddaf696572de/download/incidentes_julio_2025.csv	download	ECU911_Base de Emergencias_202507
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/43be66ba-66b3-416c-9c9f-922daed7660f/download/incidentes_agosto_2025.csv	download	ECU911_Base de Emergencias_202508
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/226b56a1-4ac2-4ade-9743-c4f2446efb2a/download/incidentes_septiembre_2025.csv	download	ECU911_Base de Emergencias_202509
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/fd5ba580-bd79-4020-a8c8-ee44f41c7692/download/incidentes_octubre_2025.csv	download	ECU911_Base de Emergencias_202510
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/cc780db6-4a79-4081-9909-04d55000f795/download/incidentes_noviembre_2025.csv	download	ECU911_Base de Emergencias_202511
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/77af83c9-86e4-47ee-ad61-76d08542b4d8/download/incidentes_diciembre_2025.csv	download	ECU911_Base de Emergencias_202512
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/0043760b-4e44-4e2b-afe3-decb441fa612/download/incidentes_enero_2026.csv	download	ECU911_Base de Emergencias_202601
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/ef7ef990-d3ec-45ea-bbc7-5b3294c8839e/download/incidentes_marzo_2026.csv	download	ECU911_Base de Emergencias_202603
ckan_ecu911	ECU911	https://www.datosabiertos.gob.ec/dataset/00c650e7-42a9-4f3c-9f29-45000091f8b3/resource/27fa0605-dadb-44f4-8bb1-a28f5864919d/download/incidentes_febrero_2026.csv	download	ECU911_Base de Emergencias_202602
inec	INEC	https://www.ecuadorencifras.gob.ec/estadisticas-siniestros-de-transito/	html_scrape	anual
inec	INEC	https://www.ecuadorencifras.gob.ec/siniestros-transito-trimestral/	html_scrape	trimestral
inec	INEC	https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/	html_scrape	bases
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones-2021	html_scrape	2021
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones-2022	html_scrape	2022
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones-2023	html_scrape	2023
sercop_sanciones	SERCOP	https://portal.compraspublicas.gob.ec/sercop/cat_normativas/Sanciones2024	html_scrape	2024
